_row_id,batch_id,augment_id,augment_name,augment_img,trend,color_type,description,all_pick_rate_main,all_pick_rate_sub,avg_ranking,pick_rate_4,pick_rate_1,raw_json
11,4,2021,飞升,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/finalascension2.png,2,2,在战斗环节开始12秒后，你的弈子们造成的伤害提升40%。,3.07,0.24,4.35,52.12,9.41,"{""id"":2021,""name"":""飞升"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/finalascension2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""在战斗环节开始12秒后，你的弈子们造成的伤害提升40%。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":9,""avgRanking"":4.54},{""stagePickRate"":20.41,""avgRanking"":4.27}]},""allPickRate"":[3.07,0.24],""avgRanking"":4.35,""pickRate_4"":52.12,""pickRate_1"":9.41}"
12,4,30665,甜点,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/sweettreats3.png,0,3,获得1个【神器锻造器】。弈子每携带1个装备，你的队伍就获得20生命值。  已获得的生命值：0  2024【魔法大乱斗】全球总决赛,3.04,0.24,4.35,52.79,11.6,"{""id"":30665,""name"":""甜点"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/sweettreats3.png"",""trend"":0,""extraData"":{""colorType"":3,""desc"":""获得1个【神器锻造器】。弈子每携带1个装备，你的队伍就获得20生命值。  已获得的生命值：0  2024【魔法大乱斗】全球总决赛"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":14.66,""avgRanking"":4.34},{""stagePickRate"":14.41,""avgRanking"":4.36}]},""allPickRate"":[3.04,0.24],""avgRanking"":4.35,""pickRate_4"":52.79,""pickRate_1"":11.6}"
13,4,20662,解封魔武,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/unsealedfromsteel2.png,0,2,在4个【暗裔武器】中选择1个。【暗裔武器】属于神器，并提供【暗裔】羁绊。,3.01,0.24,4.46,50.14,14.37,"{""id"":20662,""name"":""解封魔武"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/unsealedfromsteel2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""在4个【暗裔武器】中选择1个。【暗裔武器】属于神器，并提供【暗裔】羁绊。"",""stage"":[{""stagePickRate"":8.02,""avgRanking"":4.58},{""stagePickRate"":6.66,""avgRanking"":4.36},{""stagePickRate"":14.14,""avgRanking"":4.44}]},""allPickRate"":[3.01,0.24],""avgRanking"":4.46,""pickRate_4"":50.14,""pickRate_1"":14.37}"
14,4,1895,四费增援,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/reinfourcement2.png,0,2,你用金币购买的下一个4费弈子将立刻升到2星。获得5金币。,2.99,0.23,5,39.07,10.6,"{""id"":1895,""name"":""四费增援"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/reinfourcement2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""你用金币购买的下一个4费弈子将立刻升到2星。获得5金币。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":28.68,""avgRanking"":5}]},""allPickRate"":[2.99,0.23],""avgRanking"":5,""pickRate_4"":39.07,""pickRate_1"":10.6}"
15,4,3851,混沌召唤,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/calltochaos3.png,0,3,获得一个强大的随机奖励。(58金币，64经验值，1件成装锻造器和金蛋，40次免费刷新，3件幸运装备推荐器和1件装备拆卸器，金铲铲和金锅锅和2件基础装备锻造器，光明版幸运装备宝箱和15金币和1件装备拆卸器，3个秘法手套和1个拆卸器，6件不同的基础装备，带1件光明装备、神器装备、成装的魔像),2.99,0.23,4.39,51.78,13.54,"{""id"":3851,""name"":""混沌召唤"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/calltochaos3.png"",""trend"":0,""extraData"":{""colorType"":3,""desc"":""获得一个强大的随机奖励。(58金币，64经验值，1件成装锻造器和金蛋，40次免费刷新，3件幸运装备推荐器和1件装备拆卸器，金铲铲和金锅锅和2件基础装备锻造器，光明版幸运装备宝箱和15金币和1件装备拆卸器，3个秘法手套和1个拆卸器，6件不同的基础装备，带1件光明装备、神器装备、成装的魔像)"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":28.6,""avgRanking"":4.39}]},""allPickRate"":[2.99,0.23],""avgRanking"":4.39,""pickRate_4"":51.78,""pickRate_1"":13.54}"
16,4,3132,光明圣物,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/radiantrelics3.png,2,3,从5件光明武器中选出1件。获得1个【装备拆卸器】。  光明武器是各个成装的超级加强版。,2.74,0.21,4.3,55.54,9.35,"{""id"":3132,""name"":""光明圣物"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/radiantrelics3.png"",""trend"":2,""extraData"":{""colorType"":3,""desc"":""从5件光明武器中选出1件。获得1个【装备拆卸器】。  光明武器是各个成装的超级加强版。"",""stage"":[{""stagePickRate"":4.56,""avgRanking"":4.48},{""stagePickRate"":12.25,""avgRanking"":4.19},{""stagePickRate"":9.47,""avgRanking"":4.35}]},""allPickRate"":[2.74,0.21],""avgRanking"":4.3,""pickRate_4"":55.54,""pickRate_1"":9.35}"
17,4,30027,爆炸式增长+,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/explosivegrowth2.png,0,2,立刻以及接下来的3个回合开始时，获得10经验值。,2.67,0.21,4.35,50.93,18.33,"{""id"":30027,""name"":""爆炸式增长+"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/explosivegrowth2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""立刻以及接下来的3个回合开始时，获得10经验值。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":25.56,""avgRanking"":4.35}]},""allPickRate"":[2.67,0.21],""avgRanking"":4.35,""pickRate_4"":50.93,""pickRate_1"":18.33}"
18,4,1134,D个痛快！ I,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/rollingfordays1.png,2,1,获得10次免费刷新。,2.63,0.21,4.6,47.85,10.66,"{""id"":1134,""name"":""D个痛快！ I"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/rollingfordays1.png"",""trend"":2,""extraData"":{""colorType"":1,""desc"":""获得10次免费刷新。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":17.83,""avgRanking"":4.6},{""stagePickRate"":7.37,""avgRanking"":4.59}]},""allPickRate"":[2.63,0.21],""avgRanking"":4.6,""pickRate_4"":47.85,""pickRate_1"":10.66}"
19,4,4009,最小巨人,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/tiniesttitanlegend3.png,0,3,在每个玩家对战回合后获得2玩家生命值和2金币。你的小小英雄还会移动得更快。  即刻获得15金币。,2.46,0.19,4.14,56.43,16.31,"{""id"":4009,""name"":""最小巨人"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/tiniesttitanlegend3.png"",""trend"":0,""extraData"":{""colorType"":3,""desc"":""在每个玩家对战回合后获得2玩家生命值和2金币。你的小小英雄还会移动得更快。  即刻获得15金币。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":22.72,""avgRanking"":4.1},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[2.46,0.19],""avgRanking"":4.14,""pickRate_4"":56.43,""pickRate_1"":16.31}"
20,4,3008,升级咯！,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/levelup3.png,1,3,即刻获得8经验值。在你购买经验值的时候，免费获得额外的2经验值。,2.46,0.19,4.62,46.54,13.45,"{""id"":3008,""name"":""升级咯！"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/levelup3.png"",""trend"":1,""extraData"":{""colorType"":3,""desc"":""即刻获得8经验值。在你购买经验值的时候，免费获得额外的2经验值。"",""stage"":[{""stagePickRate"":20.95,""avgRanking"":4.65},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[2.46,0.19],""avgRanking"":4.62,""pickRate_4"":46.54,""pickRate_1"":13.45}"
21,4,20041,双排,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/douqueue2.png,1,2,获得2个随机的5费弈子和2件相同的随机基础装备。,2.35,0.18,4.45,49.25,16.01,"{""id"":20041,""name"":""双排"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/douqueue2.png"",""trend"":1,""extraData"":{""colorType"":2,""desc"":""获得2个随机的5费弈子和2件相同的随机基础装备。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":22.5,""avgRanking"":4.45}]},""allPickRate"":[2.35,0.18],""avgRanking"":4.45,""pickRate_4"":49.25,""pickRate_1"":16.01}"
22,4,20260,灵魂连接,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/spiritlink2.png,2,2,己方弈子们每4秒治疗自身5%最大生命值。每损失10玩家生命值，这个治疗效果就会提升0.5%。,2.33,0.18,4.6,48.31,12.24,"{""id"":20260,""name"":""灵魂连接"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/spiritlink2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""己方弈子们每4秒治疗自身5%最大生命值。每损失10玩家生命值，这个治疗效果就会提升0.5%。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":5.04,""avgRanking"":4.38},{""stagePickRate"":17.24,""avgRanking"":4.67}]},""allPickRate"":[2.33,0.18],""avgRanking"":4.6,""pickRate_4"":48.31,""pickRate_1"":12.24}"
23,4,2804,英勇福袋,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/heroicgrabbag2.png,0,2,获得2个【次级英雄复制器】和5金币。  这个物品允许你能复制一个3费或以下的弈子。,2.25,0.18,4.5,51.25,10.54,"{""id"":2804,""name"":""英勇福袋"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/heroicgrabbag2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""获得2个【次级英雄复制器】和5金币。  这个物品允许你能复制一个3费或以下的弈子。"",""stage"":[{""stagePickRate"":18.97,""avgRanking"":4.51},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[2.25,0.18],""avgRanking"":4.5,""pickRate_4"":51.25,""pickRate_1"":10.54}"
24,4,20205,魔法投掷,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/amagicalroll2.png,2,2,投掷3个骰子，根据总点数获得奖励。,2.24,0.17,4.41,51.5,12.82,"{""id"":20205,""name"":""魔法投掷"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/amagicalroll2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""投掷3个骰子，根据总点数获得奖励。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":20.14,""avgRanking"":4.39},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[2.24,0.17],""avgRanking"":4.41,""pickRate_4"":51.5,""pickRate_1"":12.82}"
25,4,20642,摇钱树,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/moneymonsoon3.png,0,3,立刻并在剩余游戏时间内每回合获得7金币。,2.17,0.17,4.44,50.15,16.61,"{""id"":20642,""name"":""摇钱树"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/moneymonsoon3.png"",""trend"":0,""extraData"":{""colorType"":3,""desc"":""立刻并在剩余游戏时间内每回合获得7金币。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":20.81,""avgRanking"":4.44}]},""allPickRate"":[2.17,0.17],""avgRanking"":4.44,""pickRate_4"":50.15,""pickRate_1"":16.61}"
26,4,3065,棱彩门票,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/goldenticket3.png,2,3,每当你的商店刷新时，你都有50%几率获得1次免费刷新。,2.16,0.17,4.7,46.27,8.55,"{""id"":3065,""name"":""棱彩门票"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/goldenticket3.png"",""trend"":2,""extraData"":{""colorType"":3,""desc"":""每当你的商店刷新时，你都有50%几率获得1次免费刷新。"",""stage"":[{""stagePickRate"":6.75,""avgRanking"":4.77},{""stagePickRate"":13,""avgRanking"":4.64},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[2.16,0.17],""avgRanking"":4.7,""pickRate_4"":46.27,""pickRate_1"":8.55}"
27,4,2012,浪人 II,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/exiles2.png,0,2,在战斗环节开始时，己方邻格内没有友军的弈子会获得相当于其30%最大生命值的护盾值，持续10秒。,2.11,0.16,4.35,52.26,12.03,"{""id"":2012,""name"":""浪人 II"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/exiles2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""在战斗环节开始时，己方邻格内没有友军的弈子会获得相当于其30%最大生命值的护盾值，持续10秒。"",""stage"":[{""stagePickRate"":2.27,""avgRanking"":4.64},{""stagePickRate"":5.79,""avgRanking"":4.47},{""stagePickRate"":12.18,""avgRanking"":4.23}]},""allPickRate"":[2.11,0.16],""avgRanking"":4.35,""pickRate_4"":52.26,""pickRate_1"":12.03}"
28,4,3804,英勇福袋+,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/heroicgrabbag2.png,2,2,获得2个【次级英雄复制器】和8金币。  这个物品允许你能复制一个3费或以下的弈子。,2.11,0.16,4.47,49.63,9.78,"{""id"":3804,""name"":""英勇福袋+"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/heroicgrabbag2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""获得2个【次级英雄复制器】和8金币。  这个物品允许你能复制一个3费或以下的弈子。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":19.16,""avgRanking"":4.45},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[2.11,0.16],""avgRanking"":4.47,""pickRate_4"":49.63,""pickRate_1"":9.78}"
29,4,3128,珠光莲花 II,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/jeweledlotus3.png,0,3,你的单位们的技能可以造成暴击。你的单位获得25%暴击几率和10%暴击伤害。,2.02,0.16,4.39,51.12,11.6,"{""id"":3128,""name"":""珠光莲花 II"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/jeweledlotus3.png"",""trend"":0,""extraData"":{""colorType"":3,""desc"":""你的单位们的技能可以造成暴击。你的单位获得25%暴击几率和10%暴击伤害。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":9.18,""avgRanking"":4.5},{""stagePickRate"":10.2,""avgRanking"":4.3}]},""allPickRate"":[2.02,0.16],""avgRanking"":4.39,""pickRate_4"":51.12,""pickRate_1"":11.6}"
30,4,10631,小小福袋,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/smallgrabbag1.png,0,1,提供2件随机基础装备,2.01,0.16,4.48,49.94,11.65,"{""id"":10631,""name"":""小小福袋"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/smallgrabbag1.png"",""trend"":0,""extraData"":{""colorType"":1,""desc"":""提供2件随机基础装备"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":15.29,""avgRanking"":4.52},{""stagePickRate"":4.02,""avgRanking"":4.34}]},""allPickRate"":[2.01,0.16],""avgRanking"":4.48,""pickRate_4"":49.94,""pickRate_1"":11.65}"
31,4,10559,轻量魔法投掷,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/slightlymagicroll1.png,2,1,投掷一个骰子。根据总点数获得奖励。,2,0.16,4.52,48.69,12.58,"{""id"":10559,""name"":""轻量魔法投掷"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/slightlymagicroll1.png"",""trend"":2,""extraData"":{""colorType"":1,""desc"":""投掷一个骰子。根据总点数获得奖励。"",""stage"":[{""stagePickRate"":17.41,""avgRanking"":4.51},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[2,0.16],""avgRanking"":4.52,""pickRate_4"":48.69,""pickRate_1"":12.58}"
32,4,30645,成长型思维,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/growthmindset3.png,0,3,获得50经验值。,2,0.16,4.32,52.28,16.52,"{""id"":30645,""name"":""成长型思维"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/growthmindset3.png"",""trend"":0,""extraData"":{""colorType"":3,""desc"":""获得50经验值。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":19.16,""avgRanking"":4.32}]},""allPickRate"":[2,0.16],""avgRanking"":4.32,""pickRate_4"":52.28,""pickRate_1"":16.52}"
33,4,2480,天生二星,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/starsareborn2.png,0,2,你购买的第一个1费和2费弈子将立刻升到2星。获得7金币。,1.99,0.15,4.44,49.78,12.44,"{""id"":2480,""name"":""天生二星"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/starsareborn2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""你购买的第一个1费和2费弈子将立刻升到2星。获得7金币。"",""stage"":[{""stagePickRate"":19.08,""avgRanking"":4.44},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.99,0.15],""avgRanking"":4.44,""pickRate_4"":49.78,""pickRate_1"":12.44}"
34,4,20633,蔓延之根,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/spreadingroots2.png,0,2,获得2个随机纹章和1金币。,1.98,0.15,4.46,50.16,13.61,"{""id"":20633,""name"":""蔓延之根"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/spreadingroots2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""获得2个随机纹章和1金币。"",""stage"":[{""stagePickRate"":17.52,""avgRanking"":4.45},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.98,0.15],""avgRanking"":4.46,""pickRate_4"":50.16,""pickRate_1"":13.61}"
