_row_id,item_ranking_row_id,piece_order,piece_id,piece_img,raw_json
21,5,1,4344,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_missfortune.png,"{""pieceId"":4344,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_missfortune.png""}"
22,5,2,3321,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_vayne.png,"{""pieceId"":3321,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_vayne.png""}"
23,5,3,5288,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_brock.png,"{""pieceId"":5288,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_brock.png""}"
24,5,4,5397,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_senna.png,"{""pieceId"":5397,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_senna.png""}"
25,5,5,5275,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_thex.png,"{""pieceId"":5275,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_thex.png""}"
26,6,1,3328,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_leona.png,"{""pieceId"":3328,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_leona.png""}"
27,6,2,4349,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png,"{""pieceId"":4349,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png""}"
28,6,3,4337,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_skarner.png,"{""pieceId"":4337,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_skarner.png""}"
29,6,4,5276,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_tahmkench.png,"{""pieceId"":5276,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_tahmkench.png""}"
30,6,5,3324,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_nautilus.png,"{""pieceId"":3324,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_nautilus.png""}"
31,7,1,3320,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_zoe.png,"{""pieceId"":3320,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_zoe.png""}"
32,7,2,5397,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_senna.png,"{""pieceId"":5397,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_senna.png""}"
33,7,3,5292,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_annie.png,"{""pieceId"":5292,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_annie.png""}"
34,7,4,3326,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_malzahar.png,"{""pieceId"":3326,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_malzahar.png""}"
35,7,5,4344,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_missfortune.png,"{""pieceId"":4344,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_missfortune.png""}"
36,8,1,3337,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_darius.png,"{""pieceId"":3337,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_darius.png""}"
37,8,2,5276,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_tahmkench.png,"{""pieceId"":5276,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_tahmkench.png""}"
38,8,3,5277,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png,"{""pieceId"":5277,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png""}"
39,8,4,4349,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png,"{""pieceId"":4349,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png""}"
40,8,5,5292,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_annie.png,"{""pieceId"":5292,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_annie.png""}"
41,9,1,5278,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_shyvana.png,"{""pieceId"":5278,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_shyvana.png""}"
42,9,2,5285,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_galio.png,"{""pieceId"":5285,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_galio.png""}"
43,9,3,5277,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png,"{""pieceId"":5277,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png""}"
44,9,4,4336,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_swain.png,"{""pieceId"":4336,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_swain.png""}"
45,9,5,5397,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_senna.png,"{""pieceId"":5397,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_senna.png""}"
46,10,1,3337,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_darius.png,"{""pieceId"":3337,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_darius.png""}"
47,10,2,5278,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_shyvana.png,"{""pieceId"":5278,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_shyvana.png""}"
48,10,3,5288,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_brock.png,"{""pieceId"":5288,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_brock.png""}"
49,10,4,4349,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png,"{""pieceId"":4349,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png""}"
50,10,5,2402,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_xinzhao.png,"{""pieceId"":2402,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_xinzhao.png""}"
51,11,1,3324,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_nautilus.png,"{""pieceId"":3324,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_nautilus.png""}"
52,11,2,4349,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png,"{""pieceId"":4349,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png""}"
53,11,3,4337,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_skarner.png,"{""pieceId"":4337,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_skarner.png""}"
54,11,4,5281,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_ornn.png,"{""pieceId"":5281,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_ornn.png""}"
55,11,5,4352,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_braum.png,"{""pieceId"":4352,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_braum.png""}"
56,12,1,3326,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_malzahar.png,"{""pieceId"":3326,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_malzahar.png""}"
57,12,2,3320,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_zoe.png,"{""pieceId"":3320,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_zoe.png""}"
58,12,3,3338,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_ahri.png,"{""pieceId"":3338,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_ahri.png""}"
59,12,4,5292,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_annie.png,"{""pieceId"":5292,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_annie.png""}"
60,12,5,2415,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_bard.png,"{""pieceId"":2415,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_bard.png""}"
61,13,1,3337,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_darius.png,"{""pieceId"":3337,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_darius.png""}"
62,13,2,5284,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_kindred.png,"{""pieceId"":5284,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_kindred.png""}"
63,13,3,5278,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_shyvana.png,"{""pieceId"":5278,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_shyvana.png""}"
64,13,4,5277,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png,"{""pieceId"":5277,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png""}"
65,13,5,2402,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_xinzhao.png,"{""pieceId"":2402,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_xinzhao.png""}"
66,14,1,5276,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_tahmkench.png,"{""pieceId"":5276,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_tahmkench.png""}"
67,14,2,4336,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_swain.png,"{""pieceId"":4336,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_swain.png""}"
68,14,3,4337,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_skarner.png,"{""pieceId"":4337,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_skarner.png""}"
69,14,4,4352,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_braum.png,"{""pieceId"":4352,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_braum.png""}"
70,14,5,4349,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png,"{""pieceId"":4349,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png""}"
71,15,1,5284,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_kindred.png,"{""pieceId"":5284,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_kindred.png""}"
72,15,2,5397,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_senna.png,"{""pieceId"":5397,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_senna.png""}"
73,15,3,3321,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_vayne.png,"{""pieceId"":3321,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_vayne.png""}"
74,15,4,4344,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_missfortune.png,"{""pieceId"":4344,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_missfortune.png""}"
75,15,5,3320,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_zoe.png,"{""pieceId"":3320,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_zoe.png""}"
76,16,1,3321,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_vayne.png,"{""pieceId"":3321,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_vayne.png""}"
77,16,2,5284,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_kindred.png,"{""pieceId"":5284,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_kindred.png""}"
78,16,3,3332,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_jinx.png,"{""pieceId"":3332,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_jinx.png""}"
79,16,4,5277,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png,"{""pieceId"":5277,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png""}"
80,16,5,3326,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_malzahar.png,"{""pieceId"":3326,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_malzahar.png""}"
81,17,1,3321,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_vayne.png,"{""pieceId"":3321,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_vayne.png""}"
82,17,2,5284,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_kindred.png,"{""pieceId"":5284,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_kindred.png""}"
83,17,3,2417,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_aphelios.png,"{""pieceId"":2417,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_aphelios.png""}"
84,17,4,5397,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_senna.png,"{""pieceId"":5397,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_senna.png""}"
85,17,5,4344,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_missfortune.png,"{""pieceId"":4344,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_missfortune.png""}"
86,18,1,5277,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png,"{""pieceId"":5277,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png""}"
87,18,2,5278,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_shyvana.png,"{""pieceId"":5278,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_shyvana.png""}"
88,18,3,4331,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_yone.png,"{""pieceId"":4331,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_yone.png""}"
89,18,4,5288,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_brock.png,"{""pieceId"":5288,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_brock.png""}"
90,18,5,4333,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_warwick.png,"{""pieceId"":4333,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_warwick.png""}"
91,19,1,5292,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_annie.png,"{""pieceId"":5292,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_annie.png""}"
92,19,2,4342,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_nidalee.png,"{""pieceId"":4342,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_nidalee.png""}"
93,19,3,2415,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_bard.png,"{""pieceId"":2415,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_bard.png""}"
94,19,4,5277,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png,"{""pieceId"":5277,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png""}"
95,19,5,4345,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_lux.png,"{""pieceId"":4345,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_lux.png""}"
96,20,1,5275,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_thex.png,"{""pieceId"":5275,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_thex.png""}"
97,20,2,5284,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_kindred.png,"{""pieceId"":5284,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_kindred.png""}"
98,20,3,5277,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png,"{""pieceId"":5277,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png""}"
99,20,4,3321,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_vayne.png,"{""pieceId"":3321,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_vayne.png""}"
100,20,5,3332,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_jinx.png,"{""pieceId"":3332,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_jinx.png""}"
101,21,1,5288,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_brock.png,"{""pieceId"":5288,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_brock.png""}"
102,21,2,5397,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_senna.png,"{""pieceId"":5397,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_senna.png""}"
103,21,3,5277,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png,"{""pieceId"":5277,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png""}"
104,21,4,5292,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_annie.png,"{""pieceId"":5292,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_annie.png""}"
105,21,5,2415,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_bard.png,"{""pieceId"":2415,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_bard.png""}"
106,22,1,4349,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png,"{""pieceId"":4349,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png""}"
107,22,2,3328,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_leona.png,"{""pieceId"":3328,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_leona.png""}"
108,22,3,4337,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_skarner.png,"{""pieceId"":4337,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_skarner.png""}"
109,22,4,4352,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_braum.png,"{""pieceId"":4352,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_braum.png""}"
110,22,5,5281,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_ornn.png,"{""pieceId"":5281,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_ornn.png""}"
111,23,1,3328,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_leona.png,"{""pieceId"":3328,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_leona.png""}"
112,23,2,4349,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png,"{""pieceId"":4349,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_garen.png""}"
113,23,3,4337,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_skarner.png,"{""pieceId"":4337,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_skarner.png""}"
114,23,4,4352,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_braum.png,"{""pieceId"":4352,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_braum.png""}"
115,23,5,3331,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_kennen.png,"{""pieceId"":3331,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_kennen.png""}"
116,24,1,3328,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_leona.png,"{""pieceId"":3328,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_leona.png""}"
117,24,2,5277,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png,"{""pieceId"":5277,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/hero/s16_head_sylas.png""}"
